20180527 08:02:04.671049Z 13310 INFO  500 - batch.cc:201
20180527 08:02:04.674926Z 13310 INFO  client-016 connected - batch.cc:86
20180527 08:02:04.675170Z 13310 INFO  client-016 sent requests - batch.cc:101
20180527 08:02:04.675210Z 13310 INFO  32 events happened - epoller.cc:75
20180527 08:02:04.675263Z 13310 INFO  client-017 connected - batch.cc:86
20180527 08:02:04.675507Z 13310 INFO  client-017 sent requests - batch.cc:101
20180527 08:02:04.675543Z 13310 INFO  client-018 connected - batch.cc:86
20180527 08:02:04.675787Z 13310 INFO  client-018 sent requests - batch.cc:101
20180527 08:02:04.675820Z 13310 INFO  client-019 connected - batch.cc:86
20180527 08:02:04.676066Z 13310 INFO  client-019 sent requests - batch.cc:101
20180527 08:02:04.676105Z 13310 INFO  client-020 connected - batch.cc:86
20180527 08:02:04.676328Z 13310 INFO  client-020 sent requests - batch.cc:101
20180527 08:02:04.676366Z 13310 INFO  client-021 connected - batch.cc:86
20180527 08:02:04.676611Z 13310 INFO  client-021 sent requests - batch.cc:101
20180527 08:02:04.676644Z 13310 INFO  client-022 connected - batch.cc:86
20180527 08:02:04.676889Z 13310 INFO  client-022 sent requests - batch.cc:101
20180527 08:02:04.676924Z 13310 INFO  client-023 connected - batch.cc:86
20180527 08:02:04.677166Z 13310 INFO  client-023 sent requests - batch.cc:101
20180527 08:02:04.677197Z 13310 INFO  client-024 connected - batch.cc:86
20180527 08:02:04.677440Z 13310 INFO  client-024 sent requests - batch.cc:101
20180527 08:02:04.677477Z 13310 INFO  client-025 connected - batch.cc:86
20180527 08:02:04.677731Z 13310 INFO  client-025 sent requests - batch.cc:101
20180527 08:02:04.677765Z 13310 INFO  client-026 connected - batch.cc:86
20180527 08:02:04.678009Z 13310 INFO  client-026 sent requests - batch.cc:101
20180527 08:02:04.678071Z 13310 INFO  client-027 connected - batch.cc:86
20180527 08:02:04.678278Z 13310 INFO  client-027 sent requests - batch.cc:101
20180527 08:02:04.678309Z 13310 INFO  client-028 connected - batch.cc:86
20180527 08:02:04.678549Z 13310 INFO  client-028 sent requests - batch.cc:101
20180527 08:02:04.678577Z 13310 INFO  client-029 connected - batch.cc:86
20180527 08:02:04.678794Z 13310 INFO  client-029 sent requests - batch.cc:101
20180527 08:02:04.678822Z 13310 INFO  client-030 connected - batch.cc:86
20180527 08:02:04.679062Z 13310 INFO  client-030 sent requests - batch.cc:101
20180527 08:02:04.679097Z 13310 INFO  client-031 connected - batch.cc:86
20180527 08:02:04.679306Z 13310 INFO  client-031 sent requests - batch.cc:101
20180527 08:02:04.679335Z 13310 INFO  client-032 connected - batch.cc:86
20180527 08:02:04.679540Z 13310 INFO  client-032 sent requests - batch.cc:101
20180527 08:02:04.679581Z 13310 INFO  client-033 connected - batch.cc:86
20180527 08:02:04.679810Z 13310 INFO  client-033 sent requests - batch.cc:101
20180527 08:02:04.679845Z 13310 INFO  client-034 connected - batch.cc:86
20180527 08:02:04.680033Z 13310 INFO  client-034 sent requests - batch.cc:101
20180527 08:02:04.680064Z 13310 INFO  client-035 connected - batch.cc:86
20180527 08:02:04.680240Z 13310 INFO  client-035 sent requests - batch.cc:101
20180527 08:02:04.680266Z 13310 INFO  client-036 connected - batch.cc:86
20180527 08:02:04.680448Z 13310 INFO  client-036 sent requests - batch.cc:101
20180527 08:02:04.680478Z 13310 INFO  client-037 connected - batch.cc:86
20180527 08:02:04.680661Z 13310 INFO  client-037 sent requests - batch.cc:101
20180527 08:02:04.680686Z 13310 INFO  client-038 connected - batch.cc:86
20180527 08:02:04.680856Z 13310 INFO  client-038 sent requests - batch.cc:101
20180527 08:02:04.680881Z 13310 INFO  client-039 connected - batch.cc:86
20180527 08:02:04.681055Z 13310 INFO  client-039 sent requests - batch.cc:101
20180527 08:02:04.681077Z 13310 INFO  client-040 connected - batch.cc:86
20180527 08:02:04.681250Z 13310 INFO  client-040 sent requests - batch.cc:101
20180527 08:02:04.681279Z 13310 INFO  client-041 connected - batch.cc:86
20180527 08:02:04.681446Z 13310 INFO  client-041 sent requests - batch.cc:101
20180527 08:02:04.681471Z 13310 INFO  client-042 connected - batch.cc:86
20180527 08:02:04.681638Z 13310 INFO  client-042 sent requests - batch.cc:101
20180527 08:02:04.681673Z 13310 INFO  client-043 connected - batch.cc:86
20180527 08:02:04.681843Z 13310 INFO  client-043 sent requests - batch.cc:101
20180527 08:02:04.681867Z 13310 INFO  client-044 connected - batch.cc:86
20180527 08:02:04.682031Z 13310 INFO  client-044 sent requests - batch.cc:101
20180527 08:02:04.682055Z 13310 INFO  client-045 connected - batch.cc:86
20180527 08:02:04.682221Z 13310 INFO  client-045 sent requests - batch.cc:101
20180527 08:02:04.682252Z 13310 INFO  client-046 connected - batch.cc:86
20180527 08:02:04.682492Z 13310 INFO  client-046 sent requests - batch.cc:101
20180527 08:02:04.682527Z 13310 INFO  client-047 connected - batch.cc:86
20180527 08:02:04.682693Z 13310 INFO  client-047 sent requests - batch.cc:101
20180527 08:02:04.682714Z 13310 INFO  client-048 connected - batch.cc:86
20180527 08:02:04.682925Z 13310 INFO  client-048 sent requests - batch.cc:101
20180527 08:02:04.682982Z 13310 INFO  64 events happened - epoller.cc:75
20180527 08:02:04.683046Z 13310 INFO  client-049 connected - batch.cc:86
20180527 08:02:04.683253Z 13310 INFO  client-049 sent requests - batch.cc:101
20180527 08:02:04.683284Z 13310 INFO  client-050 connected - batch.cc:86
20180527 08:02:04.683510Z 13310 INFO  client-050 sent requests - batch.cc:101
20180527 08:02:04.683545Z 13310 INFO  client-051 connected - batch.cc:86
20180527 08:02:04.683735Z 13310 INFO  client-051 sent requests - batch.cc:101
20180527 08:02:04.683772Z 13310 INFO  client-052 connected - batch.cc:86
20180527 08:02:04.684007Z 13310 INFO  client-052 sent requests - batch.cc:101
20180527 08:02:04.684034Z 13310 INFO  client-053 connected - batch.cc:86
20180527 08:02:04.684305Z 13310 INFO  client-053 sent requests - batch.cc:101
20180527 08:02:04.684344Z 13310 INFO  client-054 connected - batch.cc:86
20180527 08:02:04.684625Z 13310 INFO  client-054 sent requests - batch.cc:101
20180527 08:02:04.684663Z 13310 INFO  client-055 connected - batch.cc:86
20180527 08:02:04.684946Z 13310 INFO  client-055 sent requests - batch.cc:101
20180527 08:02:04.684981Z 13310 INFO  client-056 connected - batch.cc:86
20180527 08:02:04.685259Z 13310 INFO  client-056 sent requests - batch.cc:101
20180527 08:02:04.685302Z 13310 INFO  client-057 connected - batch.cc:86
20180527 08:02:04.685586Z 13310 INFO  client-057 sent requests - batch.cc:101
20180527 08:02:04.685625Z 13310 INFO  client-058 connected - batch.cc:86
20180527 08:02:04.685931Z 13310 INFO  client-058 sent requests - batch.cc:101
20180527 08:02:04.685967Z 13310 INFO  client-059 connected - batch.cc:86
20180527 08:02:04.686241Z 13310 INFO  client-059 sent requests - batch.cc:101
20180527 08:02:04.686279Z 13310 INFO  client-060 connected - batch.cc:86
20180527 08:02:04.686558Z 13310 INFO  client-060 sent requests - batch.cc:101
20180527 08:02:04.686593Z 13310 INFO  client-061 connected - batch.cc:86
20180527 08:02:04.686871Z 13310 INFO  client-061 sent requests - batch.cc:101
20180527 08:02:04.686910Z 13310 INFO  client-062 connected - batch.cc:86
20180527 08:02:04.687193Z 13310 INFO  client-062 sent requests - batch.cc:101
20180527 08:02:04.687231Z 13310 INFO  client-063 connected - batch.cc:86
20180527 08:02:04.687511Z 13310 INFO  client-063 sent requests - batch.cc:101
20180527 08:02:04.687548Z 13310 INFO  client-064 connected - batch.cc:86
20180527 08:02:04.687827Z 13310 INFO  client-064 sent requests - batch.cc:101
20180527 08:02:04.687870Z 13310 INFO  client-065 connected - batch.cc:86
20180527 08:02:04.688149Z 13310 INFO  client-065 sent requests - batch.cc:101
20180527 08:02:04.688188Z 13310 INFO  client-066 connected - batch.cc:86
20180527 08:02:04.688466Z 13310 INFO  client-066 sent requests - batch.cc:101
20180527 08:02:04.688501Z 13310 INFO  client-067 connected - batch.cc:86
20180527 08:02:04.688783Z 13310 INFO  client-067 sent requests - batch.cc:101
20180527 08:02:04.688830Z 13310 INFO  client-068 connected - batch.cc:86
20180527 08:02:04.689078Z 13310 INFO  client-068 sent requests - batch.cc:101
20180527 08:02:04.689114Z 13310 INFO  client-069 connected - batch.cc:86
20180527 08:02:04.689364Z 13310 INFO  client-069 sent requests - batch.cc:101
20180527 08:02:04.689399Z 13310 INFO  client-070 connected - batch.cc:86
20180527 08:02:04.689690Z 13310 INFO  client-070 sent requests - batch.cc:101
20180527 08:02:04.689727Z 13310 INFO  client-071 connected - batch.cc:86
20180527 08:02:04.690012Z 13310 INFO  client-071 sent requests - batch.cc:101
20180527 08:02:04.690052Z 13310 INFO  client-072 connected - batch.cc:86
20180527 08:02:04.690334Z 13310 INFO  client-072 sent requests - batch.cc:101
20180527 08:02:04.690373Z 13310 INFO  client-073 connected - batch.cc:86
20180527 08:02:04.690655Z 13310 INFO  client-073 sent requests - batch.cc:101
20180527 08:02:04.690693Z 13310 INFO  client-074 connected - batch.cc:86
20180527 08:02:04.690977Z 13310 INFO  client-074 sent requests - batch.cc:101
20180527 08:02:04.691010Z 13310 INFO  client-075 connected - batch.cc:86
20180527 08:02:04.691290Z 13310 INFO  client-075 sent requests - batch.cc:101
20180527 08:02:04.691329Z 13310 INFO  client-076 connected - batch.cc:86
20180527 08:02:04.691611Z 13310 INFO  client-076 sent requests - batch.cc:101
20180527 08:02:04.691649Z 13310 INFO  client-077 connected - batch.cc:86
20180527 08:02:04.691932Z 13310 INFO  client-077 sent requests - batch.cc:101
20180527 08:02:04.691969Z 13310 INFO  client-078 connected - batch.cc:86
20180527 08:02:04.692249Z 13310 INFO  client-078 sent requests - batch.cc:101
20180527 08:02:04.692284Z 13310 INFO  client-079 connected - batch.cc:86
20180527 08:02:04.692560Z 13310 INFO  client-079 sent requests - batch.cc:101
20180527 08:02:04.692657Z 13310 INFO  client-080 connected - batch.cc:86
20180527 08:02:04.692919Z 13310 INFO  client-080 sent requests - batch.cc:101
20180527 08:02:04.692981Z 13310 INFO  client-081 connected - batch.cc:86
20180527 08:02:04.693149Z 13310 INFO  client-081 sent requests - batch.cc:101
20180527 08:02:04.693174Z 13310 INFO  client-082 connected - batch.cc:86
20180527 08:02:04.693342Z 13310 INFO  client-082 sent requests - batch.cc:101
20180527 08:02:04.693364Z 13310 INFO  client-083 connected - batch.cc:86
20180527 08:02:04.693529Z 13310 INFO  client-083 sent requests - batch.cc:101
20180527 08:02:04.693554Z 13310 INFO  client-084 connected - batch.cc:86
20180527 08:02:04.693817Z 13310 INFO  client-084 sent requests - batch.cc:101
20180527 08:02:04.693855Z 13310 INFO  client-085 connected - batch.cc:86
20180527 08:02:04.694098Z 13310 INFO  client-085 sent requests - batch.cc:101
20180527 08:02:04.694133Z 13310 INFO  client-086 connected - batch.cc:86
20180527 08:02:04.694377Z 13310 INFO  client-086 sent requests - batch.cc:101
20180527 08:02:04.694408Z 13310 INFO  client-087 connected - batch.cc:86
20180527 08:02:04.694651Z 13310 INFO  client-087 sent requests - batch.cc:101
20180527 08:02:04.694685Z 13310 INFO  client-088 connected - batch.cc:86
20180527 08:02:04.694928Z 13310 INFO  client-088 sent requests - batch.cc:101
20180527 08:02:04.694965Z 13310 INFO  client-089 connected - batch.cc:86
20180527 08:02:04.695208Z 13310 INFO  client-089 sent requests - batch.cc:101
20180527 08:02:04.695243Z 13310 INFO  client-090 connected - batch.cc:86
20180527 08:02:04.695485Z 13310 INFO  client-090 sent requests - batch.cc:101
20180527 08:02:04.695518Z 13310 INFO  client-091 connected - batch.cc:86
20180527 08:02:04.695759Z 13310 INFO  client-091 sent requests - batch.cc:101
20180527 08:02:04.695794Z 13310 INFO  client-092 connected - batch.cc:86
20180527 08:02:04.696038Z 13310 INFO  client-092 sent requests - batch.cc:101
20180527 08:02:04.696073Z 13310 INFO  client-093 connected - batch.cc:86
20180527 08:02:04.696316Z 13310 INFO  client-093 sent requests - batch.cc:101
20180527 08:02:04.696354Z 13310 INFO  client-094 connected - batch.cc:86
20180527 08:02:04.696596Z 13310 INFO  client-094 sent requests - batch.cc:101
20180527 08:02:04.696627Z 13310 INFO  client-095 connected - batch.cc:86
20180527 08:02:04.696872Z 13310 INFO  client-095 sent requests - batch.cc:101
20180527 08:02:04.696906Z 13310 INFO  client-096 connected - batch.cc:86
20180527 08:02:04.697147Z 13310 INFO  client-096 sent requests - batch.cc:101
20180527 08:02:04.697181Z 13310 INFO  client-097 connected - batch.cc:86
20180527 08:02:04.697423Z 13310 INFO  client-097 sent requests - batch.cc:101
20180527 08:02:04.697459Z 13310 INFO  client-098 connected - batch.cc:86
20180527 08:02:04.697714Z 13310 INFO  client-098 sent requests - batch.cc:101
20180527 08:02:04.697747Z 13310 INFO  client-099 connected - batch.cc:86
20180527 08:02:04.697991Z 13310 INFO  client-099 sent requests - batch.cc:101
20180527 08:02:04.698026Z 13310 INFO  client-100 connected - batch.cc:86
20180527 08:02:04.698267Z 13310 INFO  client-100 sent requests - batch.cc:101
20180527 08:02:04.698302Z 13310 INFO  client-101 connected - batch.cc:86
20180527 08:02:04.698526Z 13310 INFO  client-101 sent requests - batch.cc:101
20180527 08:02:04.698561Z 13310 INFO  client-102 connected - batch.cc:86
20180527 08:02:04.698802Z 13310 INFO  client-102 sent requests - batch.cc:101
20180527 08:02:04.698833Z 13310 INFO  client-103 connected - batch.cc:86
20180527 08:02:04.699075Z 13310 INFO  client-103 sent requests - batch.cc:101
20180527 08:02:04.699113Z 13310 INFO  client-104 connected - batch.cc:86
20180527 08:02:04.699356Z 13310 INFO  client-104 sent requests - batch.cc:101
20180527 08:02:04.699392Z 13310 INFO  client-105 connected - batch.cc:86
20180527 08:02:04.699634Z 13310 INFO  client-105 sent requests - batch.cc:101
20180527 08:02:04.699666Z 13310 INFO  client-106 connected - batch.cc:86
20180527 08:02:04.699906Z 13310 INFO  client-106 sent requests - batch.cc:101
20180527 08:02:04.699941Z 13310 INFO  client-107 connected - batch.cc:86
20180527 08:02:04.700181Z 13310 INFO  client-107 sent requests - batch.cc:101
20180527 08:02:04.700233Z 13310 INFO  client-108 connected - batch.cc:86
20180527 08:02:04.700478Z 13310 INFO  client-108 sent requests - batch.cc:101
20180527 08:02:04.700513Z 13310 INFO  client-109 connected - batch.cc:86
20180527 08:02:04.700759Z 13310 INFO  client-109 sent requests - batch.cc:101
20180527 08:02:04.700787Z 13310 INFO  client-110 connected - batch.cc:86
20180527 08:02:04.701028Z 13310 INFO  client-110 sent requests - batch.cc:101
20180527 08:02:04.701064Z 13310 INFO  client-111 connected - batch.cc:86
20180527 08:02:04.701307Z 13310 INFO  client-111 sent requests - batch.cc:101
20180527 08:02:04.701348Z 13310 INFO  client-112 connected - batch.cc:86
20180527 08:02:04.701590Z 13310 INFO  client-112 sent requests - batch.cc:101
20180527 08:02:04.701743Z 13310 INFO  128 events happened - epoller.cc:75
20180527 08:02:04.701863Z 13310 INFO  client-113 connected - batch.cc:86
20180527 08:02:04.702106Z 13310 INFO  client-113 sent requests - batch.cc:101
20180527 08:02:04.702139Z 13310 INFO  client-114 connected - batch.cc:86
20180527 08:02:04.702380Z 13310 INFO  client-114 sent requests - batch.cc:101
20180527 08:02:04.702416Z 13310 INFO  client-115 connected - batch.cc:86
20180527 08:02:04.702660Z 13310 INFO  client-115 sent requests - batch.cc:101
20180527 08:02:04.702692Z 13310 INFO  client-116 connected - batch.cc:86
20180527 08:02:04.702935Z 13310 INFO  client-116 sent requests - batch.cc:101
20180527 08:02:04.702971Z 13310 INFO  client-117 connected - batch.cc:86
20180527 08:02:04.703216Z 13310 INFO  client-117 sent requests - batch.cc:101
20180527 08:02:04.703248Z 13310 INFO  client-118 connected - batch.cc:86
20180527 08:02:04.703491Z 13310 INFO  client-118 sent requests - batch.cc:101
20180527 08:02:04.703525Z 13310 INFO  client-119 connected - batch.cc:86
20180527 08:02:04.703767Z 13310 INFO  client-119 sent requests - batch.cc:101
20180527 08:02:04.703803Z 13310 INFO  client-120 connected - batch.cc:86
20180527 08:02:04.704046Z 13310 INFO  client-120 sent requests - batch.cc:101
20180527 08:02:04.704081Z 13310 INFO  client-121 connected - batch.cc:86
20180527 08:02:04.704281Z 13310 INFO  client-121 sent requests - batch.cc:101
20180527 08:02:04.704311Z 13310 INFO  client-122 connected - batch.cc:86
20180527 08:02:04.704555Z 13310 INFO  client-122 sent requests - batch.cc:101
20180527 08:02:04.704589Z 13310 INFO  client-123 connected - batch.cc:86
20180527 08:02:04.704832Z 13310 INFO  client-123 sent requests - batch.cc:101
20180527 08:02:04.704864Z 13310 INFO  client-124 connected - batch.cc:86
20180527 08:02:04.705107Z 13310 INFO  client-124 sent requests - batch.cc:101
20180527 08:02:04.705142Z 13310 INFO  client-125 connected - batch.cc:86
20180527 08:02:04.705382Z 13310 INFO  client-125 sent requests - batch.cc:101
20180527 08:02:04.705414Z 13310 INFO  client-126 connected - batch.cc:86
20180527 08:02:04.705653Z 13310 INFO  client-126 sent requests - batch.cc:101
20180527 08:02:04.705699Z 13310 INFO  client-127 connected - batch.cc:86
20180527 08:02:04.705942Z 13310 INFO  client-127 sent requests - batch.cc:101
20180527 08:02:04.705979Z 13310 INFO  client-128 connected - batch.cc:86
20180527 08:02:04.706223Z 13310 INFO  client-128 sent requests - batch.cc:101
20180527 08:02:04.706260Z 13310 INFO  client-129 connected - batch.cc:86
20180527 08:02:04.706503Z 13310 INFO  client-129 sent requests - batch.cc:101
20180527 08:02:04.706539Z 13310 INFO  client-130 connected - batch.cc:86
20180527 08:02:04.706781Z 13310 INFO  client-130 sent requests - batch.cc:101
20180527 08:02:04.706816Z 13310 INFO  client-131 connected - batch.cc:86
20180527 08:02:04.707058Z 13310 INFO  client-131 sent requests - batch.cc:101
20180527 08:02:04.707090Z 13310 INFO  client-132 connected - batch.cc:86
20180527 08:02:04.707333Z 13310 INFO  client-132 sent requests - batch.cc:101
20180527 08:02:04.707368Z 13310 INFO  client-133 connected - batch.cc:86
20180527 08:02:04.707609Z 13310 INFO  client-133 sent requests - batch.cc:101
20180527 08:02:04.707641Z 13310 INFO  client-134 connected - batch.cc:86
20180527 08:02:04.707997Z 13310 INFO  client-134 sent requests - batch.cc:101
20180527 08:02:04.708033Z 13310 INFO  client-135 connected - batch.cc:86
20180527 08:02:04.708439Z 13310 INFO  client-135 sent requests - batch.cc:101
20180527 08:02:04.708470Z 13310 INFO  client-136 connected - batch.cc:86
20180527 08:02:04.708642Z 13310 INFO  client-136 sent requests - batch.cc:101
20180527 08:02:04.708675Z 13310 INFO  client-137 connected - batch.cc:86
20180527 08:02:04.708918Z 13310 INFO  client-137 sent requests - batch.cc:101
20180527 08:02:04.708955Z 13310 INFO  client-138 connected - batch.cc:86
20180527 08:02:04.709199Z 13310 INFO  client-138 sent requests - batch.cc:101
20180527 08:02:04.709230Z 13310 INFO  client-139 connected - batch.cc:86
20180527 08:02:04.709528Z 13310 INFO  client-139 sent requests - batch.cc:101
20180527 08:02:04.709566Z 13310 INFO  client-140 connected - batch.cc:86
20180527 08:02:04.709824Z 13310 INFO  client-140 sent requests - batch.cc:101
20180527 08:02:04.709860Z 13310 INFO  client-141 connected - batch.cc:86
20180527 08:02:04.710104Z 13310 INFO  client-141 sent requests - batch.cc:101
20180527 08:02:04.710136Z 13310 INFO  client-142 connected - batch.cc:86
20180527 08:02:04.710379Z 13310 INFO  client-142 sent requests - batch.cc:101
20180527 08:02:04.710414Z 13310 INFO  client-143 connected - batch.cc:86
20180527 08:02:04.710710Z 13310 INFO  client-143 sent requests - batch.cc:101
20180527 08:02:04.710743Z 13310 INFO  client-144 connected - batch.cc:86
20180527 08:02:04.710993Z 13310 INFO  client-144 sent requests - batch.cc:101
20180527 08:02:04.711037Z 13310 INFO  client-145 connected - batch.cc:86
20180527 08:02:04.711278Z 13310 INFO  client-145 sent requests - batch.cc:101
20180527 08:02:04.711309Z 13310 INFO  client-146 connected - batch.cc:86
20180527 08:02:04.711552Z 13310 INFO  client-146 sent requests - batch.cc:101
20180527 08:02:04.711588Z 13310 INFO  client-147 connected - batch.cc:86
20180527 08:02:04.711832Z 13310 INFO  client-147 sent requests - batch.cc:101
20180527 08:02:04.711868Z 13310 INFO  client-148 connected - batch.cc:86
20180527 08:02:04.712110Z 13310 INFO  client-148 sent requests - batch.cc:101
20180527 08:02:04.712141Z 13310 INFO  client-149 connected - batch.cc:86
20180527 08:02:04.712386Z 13310 INFO  client-149 sent requests - batch.cc:101
20180527 08:02:04.712421Z 13310 INFO  client-150 connected - batch.cc:86
20180527 08:02:04.712663Z 13310 INFO  client-150 sent requests - batch.cc:101
20180527 08:02:04.712698Z 13310 INFO  client-151 connected - batch.cc:86
20180527 08:02:04.712939Z 13310 INFO  client-151 sent requests - batch.cc:101
20180527 08:02:04.712972Z 13310 INFO  client-152 connected - batch.cc:86
20180527 08:02:04.713214Z 13310 INFO  client-152 sent requests - batch.cc:101
20180527 08:02:04.713245Z 13310 INFO  client-153 connected - batch.cc:86
20180527 08:02:04.713490Z 13310 INFO  client-153 sent requests - batch.cc:101
20180527 08:02:04.713524Z 13310 INFO  client-154 connected - batch.cc:86
20180527 08:02:04.713777Z 13310 INFO  client-154 sent requests - batch.cc:101
20180527 08:02:04.713819Z 13310 INFO  client-155 connected - batch.cc:86
20180527 08:02:04.714103Z 13310 INFO  client-155 sent requests - batch.cc:101
20180527 08:02:04.714141Z 13310 INFO  client-156 connected - batch.cc:86
20180527 08:02:04.714417Z 13310 INFO  client-156 sent requests - batch.cc:101
20180527 08:02:04.714454Z 13310 INFO  client-157 connected - batch.cc:86
20180527 08:02:04.714727Z 13310 INFO  client-157 sent requests - batch.cc:101
20180527 08:02:04.714765Z 13310 INFO  client-158 connected - batch.cc:86
20180527 08:02:04.715036Z 13310 INFO  client-158 sent requests - batch.cc:101
20180527 08:02:04.715074Z 13310 INFO  client-159 connected - batch.cc:86
20180527 08:02:04.715351Z 13310 INFO  client-159 sent requests - batch.cc:101
20180527 08:02:04.715389Z 13310 INFO  client-160 connected - batch.cc:86
20180527 08:02:04.715661Z 13310 INFO  client-160 sent requests - batch.cc:101
20180527 08:02:04.715697Z 13310 INFO  client-161 connected - batch.cc:86
20180527 08:02:04.716047Z 13310 INFO  client-161 sent requests - batch.cc:101
20180527 08:02:04.716088Z 13310 INFO  client-162 connected - batch.cc:86
20180527 08:02:04.716331Z 13310 INFO  client-162 sent requests - batch.cc:101
20180527 08:02:04.716367Z 13310 INFO  client-163 connected - batch.cc:86
20180527 08:02:04.716609Z 13310 INFO  client-163 sent requests - batch.cc:101
20180527 08:02:04.716642Z 13310 INFO  client-164 connected - batch.cc:86
20180527 08:02:04.716884Z 13310 INFO  client-164 sent requests - batch.cc:101
20180527 08:02:04.716918Z 13310 INFO  client-165 connected - batch.cc:86
20180527 08:02:04.717160Z 13310 INFO  client-165 sent requests - batch.cc:101
20180527 08:02:04.717197Z 13310 INFO  client-166 connected - batch.cc:86
20180527 08:02:04.717438Z 13310 INFO  client-166 sent requests - batch.cc:101
20180527 08:02:04.717472Z 13310 INFO  client-167 connected - batch.cc:86
20180527 08:02:04.717735Z 13310 INFO  client-167 sent requests - batch.cc:101
20180527 08:02:04.717767Z 13310 INFO  client-168 connected - batch.cc:86
20180527 08:02:04.718011Z 13310 INFO  client-168 sent requests - batch.cc:101
20180527 08:02:04.718046Z 13310 INFO  client-169 connected - batch.cc:86
20180527 08:02:04.718288Z 13310 INFO  client-169 sent requests - batch.cc:101
20180527 08:02:04.718323Z 13310 INFO  client-170 connected - batch.cc:86
20180527 08:02:04.718567Z 13310 INFO  client-170 sent requests - batch.cc:101
20180527 08:02:04.718601Z 13310 INFO  client-171 connected - batch.cc:86
20180527 08:02:04.718834Z 13310 INFO  client-171 sent requests - batch.cc:101
20180527 08:02:04.718867Z 13310 INFO  client-172 connected - batch.cc:86
20180527 08:02:04.719115Z 13310 INFO  client-172 sent requests - batch.cc:101
20180527 08:02:04.719148Z 13310 INFO  client-173 connected - batch.cc:86
20180527 08:02:04.719388Z 13310 INFO  client-173 sent requests - batch.cc:101
20180527 08:02:04.719424Z 13310 INFO  client-174 connected - batch.cc:86
20180527 08:02:04.719672Z 13310 INFO  client-174 sent requests - batch.cc:101
20180527 08:02:04.719704Z 13310 INFO  client-175 connected - batch.cc:86
20180527 08:02:04.719963Z 13310 INFO  client-175 sent requests - batch.cc:101
20180527 08:02:04.719998Z 13310 INFO  client-176 connected - batch.cc:86
20180527 08:02:04.720225Z 13310 INFO  client-176 sent requests - batch.cc:101
20180527 08:02:04.720273Z 13310 INFO  client-177 connected - batch.cc:86
20180527 08:02:04.720509Z 13310 INFO  client-177 sent requests - batch.cc:101
20180527 08:02:04.720542Z 13310 INFO  client-178 connected - batch.cc:86
20180527 08:02:04.720791Z 13310 INFO  client-178 sent requests - batch.cc:101
20180527 08:02:04.720827Z 13310 INFO  client-179 connected - batch.cc:86
20180527 08:02:04.721072Z 13310 INFO  client-179 sent requests - batch.cc:101
20180527 08:02:04.721106Z 13310 INFO  client-180 connected - batch.cc:86
20180527 08:02:04.721353Z 13310 INFO  client-180 sent requests - batch.cc:101
20180527 08:02:04.721383Z 13310 INFO  client-181 connected - batch.cc:86
20180527 08:02:04.721629Z 13310 INFO  client-181 sent requests - batch.cc:101
